timestamp,sensor_id,reading,location,shift
01/06/2026 00:00,Pressure_01,54.96714153,mombasa,Afternoon
01/06/2026 00:05,Pressure_01,48.61735699,NRB,Morning
01/06/2026 00:10,temp_sensor,56.47688538,Nairobi,Morning
01/06/2026 00:15,P1,65.23029856,mombasa,Morning
01/06/2026 00:20,P1,47.65846625,mombasa,Night
01/06/2026 00:25,P1,47.65863043,MBA,Morning
01/06/2026 00:30,Pressure_01,65.79212816,Kisumu,Morning
01/06/2026 00:35,Pressure_01,57.67434729,mombasa,Night
01/06/2026 00:40,TEMP_SENS,45.30525614,Nairobi,Morning
01/06/2026 00:45,Pressure_01,55.42560044,Mombasa,Night
01/06/2026 00:50,Pressure_01,45.36582307,NRB,Night
01/06/2026 00:55,Pressure_01,45.34270246,Nairobi,Morning
01/06/2026 01:00,P1,52.41962272,Nairobi,Morning
01/06/2026 01:05,P1,30.86719755,NRB,Afternoon
01/06/2026 01:10,Pressure_01,32.75082167,NRB,Night
01/06/2026 01:15,P1,44.37712471,mombasa,Night
01/06/2026 01:20,TEMP_SENS,39.8716888,Nairobi,Morning
01/06/2026 01:25,P1,53.14247333,mombasa,Afternoon
01/06/2026 01:30,TEMP_SENS,40.91975924,MBA,Night
01/06/2026 01:35,temp_sensor,35.87696299,mombasa,Afternoon
01/06/2026 01:40,Pressure_01,64.65648769,MBA,Night
01/06/2026 01:45,P1,47.742237,Kisumu,Night
01/06/2026 01:50,TEMP_SENS,50.67528205,Mombasa,Morning
01/06/2026 01:55,temp_sensor,35.75251814,Nairobi,Night
01/06/2026 02:00,temp_sensor,44.55617275,MBA,Morning
01/06/2026 02:05,P1,51.1092259,Mombasa,Night
01/06/2026 02:10,P1,38.49006423,NRB,Morning
01/06/2026 02:15,temp_sensor,53.75698018,Kisumu,Night
01/06/2026 02:20,Pressure_01,43.9936131,mombasa,Morning
01/06/2026 02:25,Pressure_01,47.0830625,Mombasa,Morning
01/06/2026 02:30,TEMP_SENS,43.98293388,MBA,Night
01/06/2026 02:35,Pressure_01,68.52278185,Nairobi,Morning
01/06/2026 02:40,temp_sensor,49.86502775,Kisumu,Afternoon
01/06/2026 02:45,temp_sensor,39.42289071,NRB,Afternoon
01/06/2026 02:50,temp_sensor,58.22544912,NRB,Afternoon
01/06/2026 02:55,Pressure_01,37.7915635,Mombasa,Morning
01/06/2026 03:00,TEMP_SENS,52.08863595,Mombasa,Night
01/06/2026 03:05,Pressure_01,30.40329876,mombasa,Afternoon
01/06/2026 03:10,TEMP_SENS,36.71813951,NRB,Afternoon
01/06/2026 03:15,Pressure_01,51.96861236,Kisumu,Night
01/06/2026 03:20,temp_sensor,57.3846658,Kisumu,Morning
01/06/2026 03:25,temp_sensor,51.71368281,NRB,Morning
01/06/2026 03:30,P1,48.84351718,mombasa,Night
01/06/2026 03:35,Pressure_01,46.98896304,Nairobi,Night
01/06/2026 03:40,Pressure_01,35.2147801,mombasa,Night
01/06/2026 03:45,P1,42.80155792,MBA,Morning
01/06/2026 03:50,temp_sensor,45.39361229,MBA,Afternoon
01/06/2026 03:55,Pressure_01,60.57122226,Mombasa,Afternoon
01/06/2026 04:00,P1,53.4361829,mombasa,Night
01/06/2026 04:05,Pressure_01,32.36959845,mombasa,Morning
01/06/2026 04:10,TEMP_SENS,53.24083969,Kisumu,Night
01/06/2026 04:15,temp_sensor,46.1491772,Mombasa,Night
01/06/2026 04:20,TEMP_SENS,43.23078,Kisumu,Afternoon
01/06/2026 04:25,temp_sensor,56.11676289,Nairobi,Night
01/06/2026 04:30,P1,60.30999522,mombasa,Night
01/06/2026 04:35,temp_sensor,59.31280119,Kisumu,Night
01/06/2026 04:40,temp_sensor,41.60782477,NRB,Morning
01/06/2026 04:45,P1,46.90787624,Kisumu,Afternoon
01/06/2026 04:50,temp_sensor,53.31263431,mombasa,Morning
01/06/2026 04:55,Pressure_01,59.75545127,Nairobi,Night
01/06/2026 05:00,P1,45.20825762,mombasa,Night
01/06/2026 05:05,P1,48.14341023,NRB,Night
01/06/2026 05:10,P1,38.93665026,MBA,Morning
01/06/2026 05:15,TEMP_SENS,38.03793376,MBA,Afternoon
01/06/2026 05:20,TEMP_SENS,58.12525822,Nairobi,Morning
01/06/2026 05:25,temp_sensor,63.56240029,Nairobi,Morning
01/06/2026 05:30,P1,49.27989878,NRB,Afternoon
01/06/2026 05:35,temp_sensor,60.03532898,Kisumu,Morning
01/06/2026 05:40,Pressure_01,53.61636025,MBA,Night
01/06/2026 05:45,P1,43.54880245,MBA,Morning
01/06/2026 05:50,Pressure_01,53.61395606,MBA,Afternoon
01/06/2026 05:55,temp_sensor,65.38036566,MBA,Night
01/06/2026 06:00,TEMP_SENS,49.64173961,NRB,Morning
01/06/2026 06:05,temp_sensor,65.64643656,Nairobi,Afternoon
01/06/2026 06:10,Pressure_01,23.80254896,Nairobi,Night
01/06/2026 06:15,P1,58.21902504,Mombasa,Afternoon
01/06/2026 06:20,temp_sensor,50.87047068,Kisumu,Afternoon
01/06/2026 06:25,P1,47.0099265,Nairobi,Morning
01/06/2026 06:30,TEMP_SENS,50.91760777,MBA,Morning
01/06/2026 06:35,TEMP_SENS,30.12431085,mombasa,Night
01/06/2026 06:40,TEMP_SENS,47.80328112,MBA,Afternoon
01/06/2026 06:45,P1,53.57112572,MBA,Morning
01/06/2026 06:50,temp_sensor,64.77894045,Nairobi,Night
01/06/2026 06:55,P1,44.81729782,Mombasa,Afternoon
01/06/2026 07:00,P1,41.91506397,NRB,Afternoon
01/06/2026 07:05,temp_sensor,44.98242956,mombasa,Morning
01/06/2026 07:10,TEMP_SENS,59.15402118,Kisumu,Morning
01/06/2026 07:15,TEMP_SENS,53.2875111,mombasa,Morning
01/06/2026 07:20,temp_sensor,44.70239796,Mombasa,Night
01/06/2026 07:25,P1,55.13267433,MBA,Morning
01/06/2026 07:30,P1,50.97077549,NRB,Morning
01/06/2026 07:35,TEMP_SENS,59.68644991,NRB,Night
01/06/2026 07:40,Pressure_01,42.97946906,NRB,Night
01/06/2026 07:45,Pressure_01,46.72337853,Kisumu,Afternoon
01/06/2026 07:50,Pressure_01,46.07891847,Nairobi,Morning
01/06/2026 07:55,P1,35.36485052,MBA,Morning
01/06/2026 08:00,P1,52.96120277,mombasa,Night
01/06/2026 08:05,TEMP_SENS,52.61055272,mombasa,Morning
01/06/2026 08:10,Pressure_01,50.05113457,MBA,Night
01/06/2026 08:15,TEMP_SENS,47.65412867,mombasa,Night
01/06/2026 08:20,TEMP_SENS,35.84629258,Nairobi,Morning
01/06/2026 08:25,TEMP_SENS,45.79354677,NRB,Afternoon
01/06/2026 08:30,temp_sensor,46.57285483,mombasa,Night
01/06/2026 08:35,Pressure_01,41.97722731,Nairobi,Morning
01/06/2026 08:40,Pressure_01,48.38714288,NRB,Afternoon
01/06/2026 08:45,temp_sensor,54.04050857,Kisumu,Afternoon
01/06/2026 08:50,temp_sensor,68.86185901,Kisumu,Afternoon
01/06/2026 08:55,Pressure_01,51.74577813,MBA,Afternoon
01/06/2026 09:00,temp_sensor,52.57550391,MBA,Morning
01/06/2026 09:05,TEMP_SENS,49.25554084,Nairobi,Morning
01/06/2026 09:10,P1,30.81228785,Kisumu,Morning
01/06/2026 09:15,TEMP_SENS,49.73486125,Kisumu,Morning
01/06/2026 09:20,Pressure_01,50.6023021,Kisumu,Afternoon
01/06/2026 09:25,temp_sensor,74.63242112,Nairobi,Afternoon
01/06/2026 09:30,P1,48.07639035,Nairobi,Night
01/06/2026 09:35,Pressure_01,53.01547342,mombasa,Afternoon
01/06/2026 09:40,temp_sensor,49.6528823,Kisumu,Afternoon
01/06/2026 09:45,P1,38.31321962,MBA,Night
01/06/2026 09:50,P1,61.42822815,mombasa,Morning
01/06/2026 09:55,temp_sensor,57.51933033,mombasa,Morning
01/06/2026 10:00,P1,57.91031947,Kisumu,Morning
01/06/2026 10:05,Pressure_01,40.90612545,NRB,Morning
01/06/2026 10:10,temp_sensor,64.02794311,Nairobi,Morning
01/06/2026 10:15,TEMP_SENS,35.98148937,mombasa,Night
01/06/2026 10:20,Pressure_01,55.86857094,NRB,Night
01/06/2026 10:25,Pressure_01,71.90455626,Kisumu,Morning
01/06/2026 10:30,temp_sensor,40.09463675,Mombasa,Afternoon
01/06/2026 10:35,temp_sensor,44.3370227,NRB,Afternoon
01/06/2026 10:40,P1,50.99651365,Mombasa,Afternoon
01/06/2026 10:45,Pressure_01,44.96524346,Mombasa,Night
01/06/2026 10:50,P1,34.49336569,Kisumu,Afternoon
01/06/2026 10:55,Pressure_01,50.68562975,Mombasa,Night
01/06/2026 11:00,Pressure_01,39.37696286,Mombasa,Morning
01/06/2026 11:05,TEMP_SENS,54.73592431,Nairobi,Afternoon
01/06/2026 11:10,Pressure_01,40.80575766,mombasa,Afternoon
01/06/2026 11:15,P1,65.49934405,Kisumu,Morning
01/06/2026 11:20,P1,42.16746708,mombasa,Morning
01/06/2026 11:25,TEMP_SENS,46.77938484,Mombasa,Afternoon
